2010,1,3.774
2010,2,2.744
2010,3,3.176
2010,4,2.818
2010,5,2.112
2010,6,1.954
2010,7,2.28
2010,8,1.906
2010,9,2.876
2010,10,3.314
2010,11,3.37
2010,12,3.134
2011,1,3.938
2011,2,5.618
2011,3,4.106
2011,4,4.046
2011,5,2.512
2011,6,2.094
2011,7,2.048
2011,8,2.044
2011,9,3.222
2011,10,4.134
2011,11,4.278
2011,12,5.324
2012,1,5.148
2012,2,4.618
2012,3,4.356
2012,4,2.582
2012,5,2.57
2012,6,1.74
2012,7,2.206
2012,8,2.062
2012,9,3.618
2012,10,2.532
2012,11,3.91
2012,12,3.928
2013,1,4.27
2013,2,4.09
2013,3,3.696
2013,4,3.302
2013,5,2.502
2013,6,1.772
2013,7,2.016
2013,8,2.172
2013,9,3.034
2013,10,3.462
2013,11,3.856
2013,12,5.76
2014,1,4.294
2014,2,3.794
2014,3,4.646
2014,4,3.212
2014,5,2.226
2014,6,1.558
2014,7,1.894
2014,8,2.092
2014,9,2.58
2014,10,3.87
2014,11,3.108
2014,12,6.044
2015,1,6.488
2015,2,5.954
2015,3,4.26
2015,4,5.838
2015,5,4.882
2015,6,3.678
2015,7,3.308
2015,8,2.786
2015,9,2.71
2015,10,3.046
2015,11,4.622
2015,12,5.048
